longitude,latitude,clc_quartier,clc_secteur,haut_tot,haut_tronc,tronc_diam,fk_arb_etat,fk_stadedev,fk_port,fk_pied,fk_situation,fk_revetement,age_estim,fk_prec_estim,clc_nbr_diag,fk_nomtech,villeca,feuillage,remarquable
3.2932636093638927,49.84050020512298,Quartier du Centre-Ville,Quai Gayant,6.0,2.0,37.0,EN PLACE,Jeune,semi libre,gazon,Alignement,Non,15.0,5.0,0.0,QUERUB,VILLE,Feuillu,Non
3.273379794709001,49.861408713361236,Quartier du Vermandois,Stade Cepy,13.0,1.0,160.0,EN PLACE,Adulte,semi libre,gazon,Groupe,Non,50.0,10.0,0.0,PINNIGnig,VILLE,Conifère,Non
3.289067824663547,49.84451310660708,Quartier du Centre-Ville,Rue Villebois Mareuil,12.0,3.0,116.0,REMPLACÉ,Adulte,semi libre,gazon,Alignement,Non,30.0,10.0,0.0,ACEPSE,VILLE,Feuillu,Non
3.30238687765097,49.86177771714989,Quartier de l'Europe,Square des Marronniers,16.0,3.0,150.0,EN PLACE,Adulte,semi libre,gazon,Groupe,Non,50.0,2.0,0.0,ACEPLA,VILLE,Feuillu,Non
3.3040472408930164,49.85844620245707,Quartier de l'Europe,Avenue Buffon,5.0,2.0,170.0,Essouché,Adulte,réduit,gazon,Isolé,Non,40.0,2.0,0.0,SALBAB,VILLE,Feuillu,Non
3.3055374576904195,49.86092815875158,Quartier de l'Europe,Rue Laplace,8.0,3.0,103.0,EN PLACE,Adulte,réduit relâché,fosse arbre,Alignement,Oui,30.0,10.0,0.0,ACEPLA,VILLE,Feuillu,Non
3.2712644773158095,49.83789717103086,Quartier Saint-Martin - Oëstres,Rue de Paris,6.0,3.0,100.0,EN PLACE,Adulte,réduit,gazon,Alignement,Non,50.0,10.0,1.0,TILCOR,VILLE,Feuillu,Non
3.270542022798621,49.83759002208269,Quartier Saint-Martin - Oëstres,Rue de Paris,9.0,4.0,135.0,EN PLACE,Adulte,réduit relâché,gazon,Alignement,Non,50.0,10.0,2.0,TILCOR,VILLE,Feuillu,Non
3.2703639865278205,49.837513824511056,Quartier Saint-Martin - Oëstres,Rue de Paris,9.0,4.0,121.0,EN PLACE,Adulte,réduit relâché,gazon,Alignement,Non,50.0,10.0,2.0,TILCOR,VILLE,Feuillu,Non
3.2699987322142414,49.837363346686566,Quartier Saint-Martin - Oëstres,Rue de Paris,9.0,2.0,107.0,EN PLACE,Adulte,réduit relâché,gazon,Alignement,Non,50.0,10.0,2.0,TILCOR,VILLE,Feuillu,Non
